职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
软件工程师,0.8-1.2万/月,南通,江苏尚飞光电科技股份有限公司,国企,,政府/公共事业,08-15
002嵌入式软件工程师,1-1.5万/月,大连,大连罗宾森电源设备有限公司,民营公司,,机械/设备/重工,08-15
软件工程师（上位机）（东莞）,1-2.5万/月,东莞,优利德科技（中国）股份有限公司,民营公司,,贸易/进出口,08-15
003软件工程师（PC）（深圳）,1-1.5万/月,深圳,东莞市德镌精密设备有限公司,民营公司,,机械/设备/重工,08-15
C＃软件工程师,1-1.5万/月,东莞,东莞市找大状互联网技术有限公司,民营公司,,计算机软件,08-15
001 .NET软件开发工程师,1-1.5万/月,东莞,东莞均维信息科技有限公司,民营公司,,计算机软件,08-15
软件工程师,6-8千/月,大连,埃森哲信息技术（大连）有限公司,外资（欧美）,,专业服务(咨询、人力资源、财会),08-15
软件工程师,0.8-1万/月,大连,新源动力股份有限公司,上市公司,,新能源,08-15
C软件开发工程师,6-8千/月,大连,大连美恒电气有限公司,合资,,仪器仪表/工业自动化,08-15
软件开发工程师,1-1.5万/月,嘉兴,嘉兴常远信息科技有限公司,民营公司,,计算机软件,08-15
002软件工程师,1-2万/月,苏州,苏州精濑光电有限公司,事业单位,,政府/公共事业,08-15
002软件工程师,0.9-2万/月,苏州,苏州市运泰利自动化设备有限公司,事业单位,,政府/公共事业,08-15
002软件工程师,1-2万/月,苏州,科韵激光科技有限公司,事业单位,,政府/公共事业,08-15
002BMS底层软件开发工程师,1-1.5万/月,苏州,度普（苏州）新能源科技有限公司,事业单位,,政府/公共事业,08-15
002嵌入式软件工程师,1.5-2.5万/月,苏州,科沃斯机器人科技有限公司,事业单位,,政府/公共事业,08-15
002软件工程师,1-1.5万/月,苏州,苏州贝爱特自动化科技有限公司,事业单位,,政府/公共事业,08-15
002软件工程师,1-2万/月,苏州,苏州伟创电气科技股份有限公司,事业单位,,政府/公共事业,08-15
002软件工程师,0.8-1.5万/月,苏州,乐开科技（苏州）有限公司,事业单位,,政府/公共事业,08-15
002伺服软件工程师,0.8-1.2万/月,苏州,苏州灵猴机器人有限公司,事业单位,,政府/公共事业,08-15
002软件工程师,1.2-3万/月,苏州,追创科技（苏州）有限公司,事业单位,,政府/公共事业,08-15
002软件工程师,1-1.5万/月,苏州,江苏芯梦半导体设备有限公司,事业单位,,政府/公共事业,08-15
002软件开发工程师,1-1.5万/月,苏州,江苏盖睿健康科技有限公司,事业单位,,政府/公共事业,08-15
002软件工程师,2.5-3万/月,上海,炬佑智能科技（苏州）有限公司,事业单位,,政府/公共事业,08-15
002软件工程师,1-2万/月,苏州,苏州赛腾菱欧智能科技有限公司,事业单位,,政府/公共事业,08-15
002软件工程师,1-2万/月,苏州,江苏阳铭互联智能系统有限公司,事业单位,,政府/公共事业,08-15
软件工程师（武汉）,0.8-1.5万/月,武汉,新源动力股份有限公司,民营公司,,电气/电力/水利,08-15
软件工程师,6-8千/月,大连,大连北方互感器集团有限公司,民营公司,,机械/设备/重工,08-15
嵌入式软件工程师,0.8-1万/月,杭州,杭州芯声智能科技有限公司,民营公司,,电子技术/半导体/集成电路,08-15
高级软件工程师,1.5-2万/月,杭州,杭州启飞智能科技有限公司,民营公司,,计算机硬件,08-15
软件工程师,0.8-1万/月,杭州,杭州泛利科技有限公司,外资（欧美）,,电子技术/半导体/集成电路,08-15
高级软件工程师,2-2.5万/月,杭州,杭州高特电子设备股份有限公司,民营公司,,电子技术/半导体/集成电路,08-15
软件工程师,2-2.5万/月,杭州,普识和康（杭州）科技有限公司,民营公司,,医疗设备/器械,08-15
嵌入式软件工程师（下位机）,1-1.5万/月,杭州,杭州奥泰生物技术股份有限公司,民营公司,,制药/生物工程,08-15
软件工程师,1-1.5万/月,南宁,南宁双汇食品有限公司,民营公司,,快速消费品(食品、饮料、化妆品),08-15
C/C++软件工程师,0.7-1.3万/月,上海,上海波汇科技有限公司,民营公司,,通信/电信/网络设备,08-15
高级软件工程师,2-2.5万/月,上海,中建材凯盛机器人(上海)有限公司,民营公司,,计算机软件,08-15
.NET软件开发工程师,1.5-2.5万/月,上海,韦乐海茨（上海）医药设备科技有限公司,合资,,医疗设备/器械,08-15
上位机软件工程师,1.5-2.5万/月,上海,上海迪探节能科技有限公司,民营公司,,房地产,08-15
嵌入式平台软件开发工程师,1.8-3.3万/月,上海,上海宏力达信息技术股份有限公司,民营公司,,计算机软件,08-15
软件工程师,1-3万/月,上海,上海天沐自动化仪表有限公司,民营公司,,仪器仪表/工业自动化,08-15
软件工程师,1.5-2.5万/月,上海,上海欧颖实验设备有限公司,民营公司,,仪器仪表/工业自动化,08-15
C语言软件开发工程师,1-1.5万/月,上海,上海杰燊科技有限公司,民营公司,,互联网/电子商务,08-15
