职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
前端开发工程师,8-9千/月,苏州-姑苏区,苏州天元土地房地产评估有限公司,民营公司,50-150人,房地产,08-15
前端开发工程师（初级）,1.5-2万/月,宁波-鄞州区,宁波鄞银金融科技有限责任公司,民营公司,50-150人,计算机软件,08-15
前端开发工程师,1.8-2万/月,上海-浦东新区,上海奇云通讯科技有限公司,民营公司,少于50人,通信/电信/网络设备,08-15
软件开发工程师（前端）,4-8千/月,南昌,江西双源电力高新技术有限责任公司,国企,150-500人,计算机软件,08-15
Web前端开发工程师,1.5-2万/月,西安-碑林区,中煤科工集团西安研究院有限公司,国企,1000-5000人,学术/科研,08-15
Web软件开发工程师(前端),0.8-1.4万/月,深圳,深圳市雅码科技有限公司,民营公司,50-150人,计算机软件,08-15
前端工程师,1-1.5万/月,上海-普陀区,上海企阳信息技术有限公司,民营公司,50-150人,计算机软件,08-15
Web前端开发工程师,0.9-1.2万/月,上海-浦东新区,海势科技（上海）有限公司,民营公司,,计算机软件,08-15
Web前端开发工程师,1.5-3万/月,上海-闵行区,上海图灵智算量子科技有限公司,民营公司,,电子技术/半导体/集成电路,08-15
Web前端开发工程师,1-2万/月,上海-长宁区,上海复创互联网科技有限公司,民营公司,50-150人,互联网/电子商务,08-15
前端开发工程师,1-1.8万/月,深圳-南山区,深圳鹏锐信息技术股份有限公司,上市公司,150-500人,计算机软件,08-15
前端开发工程师,1-1.5万/月,上海-浦东新区,上海聚杰信息技术有限公司,民营公司,50-150人,互联网/电子商务,08-15
前端工程师,1-1.8万/月,上海-浦东新区,燕梭金融信息科技（上海）有限公司,民营公司,150-500人,计算机软件,08-15
前端开发工程师,1.3-2.6万/月,上海-普陀区,上海爱奇尔信息技术有限公司,合资,50-150人,互联网/电子商务,08-15
Web前端开发工程师,6-8千/月,成都-高新区,成都市校令信息技术咨询有限公司,民营公司,少于50人,专业服务(咨询、人力资源、财会),08-15
高级前端web开发工程师,1.2-1.7万/月,武汉-洪山区,武汉动游科技有限公司,民营公司,150-500人,网络游戏,08-15
前端开发工程师,1-1.5万/月,常州-新北区,频率探索智能科技江苏有限公司,民营公司,少于50人,计算机软件,08-15
Web前端开发工程师,15-20万/年,上海-浦东新区,昱瑾网络科技（上海）有限公司,民营公司,50-150人,互联网/电子商务,08-15
高级前端开发工程师,0.7-1.2万/月,长春-高新技术产业开发区,长春创世麒麟科技有限公司,民营公司,50-150人,计算机软件,08-15
Web前端开发工程师,0.6-1.2万/月,南京-江宁区,南京智欧智能技术研究院有限公司,合资,少于50人,学术/科研,08-15
Web前端开发工程师,1-1.6万/月,广州-越秀区,广州市中智软件开发有限公司,民营公司,500-1000人,计算机软件,08-15
前端开发工程师,1.5-1.8万/月,北京-朝阳区,启丰食品科技（北京）有限公司,合资,150-500人,快速消费品(食品、饮料、化妆品),08-15
Web前端开发工程师,1.5-2万/月,广州-天河区,广州市玖鑫网络有限公司,民营公司,,计算机软件,08-15
前端开发工程师,0.6-1万/月,成都-成华区,深谷（成都）信息技术有限公司,民营公司,50-150人,计算机软件,08-15
高级前端开发工程师,1.5-2.2万/月,上海-徐汇区,兆恒电脑科技（上海）有限公司广州分公司,外资（非欧美）,150-500人,计算机服务(系统、数据服务、维修),08-15
前端开发工程师,0.8-1.7万/月,深圳-罗湖区,深圳麦亚信科技股份有限公司,上市公司,500-1000人,计算机软件,08-15
Web前端开发工程师（React方向）,1.2-2万/月,上海-普陀区,上海慧龙计算机系统有限公司,民营公司,50-150人,计算机软件,08-15
Web 前端开发工程师,1.1-1.5万/月,苏州-相城区,思达客教育科技（苏州）有限公司,民营公司,少于50人,教育/培训/院校,08-15
Web前端开发工程师,1.5-2万/月,上海-宝山区,国药集团上海医疗器械有限公司,国企,150-500人,医疗设备/器械,08-15
网站前端开发工程师,0.9-1.8万/月,广州-黄埔区,广东利为网络科技有限公司,民营公司,少于50人,计算机软件,08-15
前端软件开发工程师,0.7-1.2万/月,西安-长安区,通号通信信息集团有限公司,国企,500-1000人,通信/电信/网络设备,08-15
前端开发工程师,1.5-2.2万/月,杭州-滨江区,杭州播鹰网络科技有限公司,创业公司,少于50人,互联网/电子商务,08-15
前端开发工程师,0.8-1.3万/月,苏州-吴中区,江苏瑞思坦生物科技有限公司,民营公司,50-150人,制药/生物工程,08-15
Web前端开发工程师,1-1.5万/月,南京,南京远光广安信息科技有限公司,上市公司,150-500人,计算机软件,08-15
B/S前端开发工程师,1-1.8万/月,上海-闵行区,上海霍开光电技术有限公司,民营公司,50-150人,多元化业务集团公司,08-15
Web前端开发工程师,1-1.5万/月,上海-浦东新区,上海黛嗒信息技术有限公司,民营公司,150-500人,外包服务,08-15
前端开发工程师,1.5-2万/月,上海-长宁区,上海虎魄企业形象策划有限公司,民营公司,50-150人,广告,08-15
前端开发工程师,1-1.5万/月,深圳-宝安区,深圳市前海中软信息技术有限公司,民营公司,少于50人,计算机软件,08-15
前端开发工程师,1-1.5万/月,广州-黄埔区,广州市昱安信息技术有限公司,民营公司,少于50人,计算机软件,08-15
网站前端开发工程师,0.9-1.8万/月,武汉-洪山区,武汉铂之锆信息技术有限公司,民营公司,少于50人,计算机软件,08-15
Web前端开发工程师,5-8千/月,长沙-芙蓉区,上海蓝正信息技术有限公司,民营公司,少于50人,通信/电信/网络设备,08-15
Web前端开发工程师,0.6-1.1万/月,苏州-工业园区,苏州钉乐信息科技有限公司,外资（欧美）,少于50人,计算机软件,08-15
前端开发工程师,1-1.5万/月,北京-朝阳区,北京易得好康科技有限公司,民营公司,少于50人,计算机软件,08-15
Web前端开发工程师,1-1.5万/月,上海-浦东新区,奥科美（上海）信息技术有限公司,合资,少于50人,计算机软件,08-15
前端开发工程师,20-30万/年,南京-秦淮区,华设设计集团股份有限公司,上市公司,1000-5000人,交通/运输/物流,08-15
Web前端开发工程师,0.8-1.3万/月,佛山-顺德区,北京天创征腾信息科技有限公司,民营公司,50-150人,计算机软件,08-15
Web前端开发工程师,1.5-2万/月,苏州-工业园区,苏州超擎图形软件科技发展有限公司,民营公司,50-150人,互联网/电子商务,08-15
Web前端开发工程师,0.8-1.5万/月,南京-栖霞区,江苏云道信息技术有限公司,民营公司,少于50人,计算机软件,08-15
Web前端开发工程师/Vue,0.9-1.5万/月,杭州-钱塘区,杭州紫钺科技有限公司,民营公司,50-150人,计算机软件,08-15
高级web前端开发工程师,1.2-1.8万/月,南京,江苏钛科圈物联网科技有限公司,民营公司,50-150人,计算机硬件,08-15
前端工程师（ZX-T-018）,1-1.7万/月,成都,中科院成都信息技术股份有限公司,上市公司,500-1000人,计算机软件,08-15
前端开发工程师,1.2-1.8万/月,深圳-福田区,上海砾阳软件有限公司,民营公司,150-500人,计算机软件,08-15
Web前端开发工程师,0.6-1万/月,武汉,武汉科迪奥电力科技有限公司,民营公司,50-150人,电气/电力/水利,08-15
初级前端开发工程师-成都市,1-1.5万/月,成都-高新区,北京清大高科系统控制有限公司,民营公司,50-150人,电气/电力/水利,08-15
Web前端开发工程师（小程序方向）,1.5-2.5万/月,上海-闵行区,上海津甜网络科技有限公司,民营公司,50-150人,互联网/电子商务,08-15
web前端开发工程师,4.5-6千/月,重庆-沙坪坝区,重庆圣特嘉科技有限公司,民营公司,少于50人,计算机软件,08-15
前端开发工程师,1.5-3万/月,深圳-南山区,深圳市建筑设计研究总院——城市建筑与环境设计研究院,国企,500-1000人,建筑/建材/工程,08-15
