职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
厨师,3-4千/月,广州-白云区,广州市白云区优致化妆品厂,民营公司,50-150人,快速消费品(食品、饮料、化妆品),08-15
中餐厨师,4.5-6千/月,沈阳-沈北新区,辽宁世纪教育研究院,民营公司,50-150人,文字媒体/出版,08-15
工地食堂厨师,3-4.5千/月,武汉-东西湖区,湖北皓远天恒建设工程有限公司,民营公司,少于50人,建筑/建材/工程,08-15
快餐厨师,6-8千/月,济南-槐荫区,济南恒益生餐饮管理有限公司,民营公司,150-500人,餐饮业,08-15
饭堂厨师,5.5-6.5千/月,佛山,佛山市顺德区誉丰塑料容器包装实业有限公司,民营公司,500-1000人,印刷/包装/造纸,08-15
厨师,5.5-6.5千/月,深圳-宝安区,深圳全智能机器人科技有限公司,民营公司,少于50人,计算机软件,08-15
员工厨房厨师，管吃管住,4-4.5千/月,天津-西青区,天津百瑞高分子材料有限公司,民营公司,50-150人,印刷/包装/造纸,08-15
助理厨师长,7-8千/月,上海-闵行区,索迪斯（中国）企业管理服务有限公司,外资（欧美）,10000人以上,物业管理/商业中心,08-15
厨师,4-6千/月,西安,西安叶子医疗美容医院,民营公司,50-150人,医疗/护理/卫生,08-15
食堂厨师,3-4.5千/月,沈阳,沈阳奥维嘉商贸有限公司,民营公司,150-500人,服装/纺织/皮革,08-15
白案厨师,3.5-4.5千/月,武汉-东湖新技术产业开发区,加州幼儿园后湖园,民营公司,500-1000人,教育/培训/院校,08-15
大锅菜厨师,6-8千/月,苏州,苏州梓博成自动化科技有限公司,民营公司,50-150人,仪器仪表/工业自动化,08-15
项目食堂厨师,4-5千/月,武汉,武汉怡格景观工程有限公司,民营公司,50-150人,建筑/建材/工程,08-15
厨师,5-5.5千/月,深圳-光明区,深圳市帝显电子有限公司,民营公司,1000-5000人,电子技术/半导体/集成电路,08-15
员工食堂厨师,4-6千/月,武汉-东西湖区,武汉华沃电源技术有限公司,民营公司,150-500人,机械/设备/重工,08-15
食堂厨师,4.5-6千/月,中山,中山市启鼎科技有限公司,民营公司,50-150人,电子技术/半导体/集成电路,08-15
西餐厨师（天环星美乐）1470,4.5-6千/月,广州-天河区,美心食品（广州）有限公司,外资（非欧美）,10000人以上,餐饮业,08-15
自身菜品研发（厨师）,1.5-3万/月,杭州,外婆家餐饮集团有限公司,民营公司,10000人以上,餐饮业,08-15
食堂厨师,6-8千/月,南通-如皋市,和府捞面,民营公司,1000-5000人,餐饮业,08-15
盒马-餐饮厨师-康健广场店,5-7千/月,上海-徐汇区,上海盒马网络科技有限公司,合资,10000人以上,互联网/电子商务,08-15
厨师（粤菜）,5-5.5千/月,广州-花都区,广州广电城市服务集团股份有限公司,国企,5000-10000人,物业管理/商业中心,08-15
厨师,4.5-6千/月,青岛-崂山区,青岛耀华餐饮有限公司,民营公司,50-150人,餐饮业,08-15
厨师,1.1-1.5万/月,天津,天津玉洋石油工程技术服务有限公司,民营公司,少于50人,石油/化工/矿产/地质,08-15
素食厨师,5-7千/月,惠州-惠城区,惠州市紫阳照科技有限公司,民营公司,50-150人,原材料和加工,08-15
招聘两位湘菜/粤菜厨师,5-6千/月,广州-海珠区,丹东同盛科技有限公司,民营公司,,计算机软件,08-15
厨师,3.5-3.8千/月,哈尔滨-道里区,真道堂（湖北）大药房连锁有限公司黑龙江分公司,民营公司,50-150人,制药/生物工程,08-15
中餐厨师,1-1.5万/月,杭州-余杭区,杭州白轩电子商务有限公司,创业公司,50-150人,互联网/电子商务,08-15
厨师,4-4.5千/月,武汉-东湖新技术产业开发区,武汉东湖新技术开发区林凡小吃店,民营公司,,餐饮业,08-15
厨师长,0.7-1万/月,重庆,重庆河生品牌营销策划有限公司,民营公司,少于50人,广告,08-15
厨师岗,4-5千/月,昆明-盘龙区,云南华夏耀创商业管理有限公司,外资（非欧美）,150-500人,物业管理/商业中心,08-15
厨师,3-4.5千/月,新余,江西星铝科技有限公司,合资,,计算机软件,08-15
厨师,4.5-6千/月,东莞-虎门镇,东莞市纳百川电子科技有限公司,民营公司,150-500人,电子技术/半导体/集成电路,08-15
厨师,4-6千/月,宁波-宁海县,杭州九如城养老服务有限公司,民营公司,150-500人,医疗/护理/卫生,08-15
西厨厨师,4-5千/月,重庆-渝中区,重庆赛迪物业管理有限公司翰文酒店管理分公司,国企,500-1000人,酒店/旅游,08-15
咖啡师  轻食厨师,3-4.5千/月,郑州-郑东新区,河南新知教育咨询有限公司,民营公司,少于50人,教育/培训/院校,08-15
