职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
少儿英语老师（娄山关路校区）,0.8-1.5万/月,上海-长宁区,上海摩迪培训学校有限公司,合资,少于50人,教育/培训/院校,08-15
英语老师,6-8千/月,太原-万柏林区,I Can Read 爱可睿英语(常州天街校区),外资（非欧美）,50-150人,教育/培训/院校,08-15
少儿英语老师（双休+福利好）,0.5-1万/月,广州-天河区,广州市天河区创才教育培训中心有限公司,民营公司,少于50人,教育/培训/院校,08-15
英语老师,4-8千/月,杭州-拱墅区,杭州玖悦心田文化艺术有限公司,民营公司,少于50人,教育/培训/院校,08-15
少儿英语老师,0.8-1万/月,上海-青浦区,上海兰科教育培训有限公司,民营公司,少于50人,教育/培训/院校,08-15
英语老师,0.5-1.2万/月,杭州-江干区,杭州布凡培训学校有限公司,民营公司,50-150人,教育/培训/院校,08-15
Science Instructor（科学英语老师）,1.6-3万/月,北京-朝阳区,北京佳禾佳信信息咨询有限公司,外资（非欧美）,少于50人,教育/培训/院校,08-15
幼儿英语老师,150元/天,沈阳-和平区,沈阳市和平区盛亰朗朗艺术培训学校,民营公司,50-150人,教育/培训/院校,08-15
英语老师,6-8千/月,佛山-南海区,广东华乔文化教育投资有限公司,民营公司,150-500人,教育/培训/院校,08-15
少儿英语老师（双休+车补+餐补+提供宿舍）,6-8千/月,广州-白云区,广州亿通天教育科技发展有限公司,合资,50-150人,教育/培训/院校,08-15
英语老师,6-8千/月,东莞-清溪镇,东莞市清溪为乐培训中心有限公司,民营公司,少于50人,教育/培训/院校,08-15
新概念英语老师,0.8-1万/月,苏州-相城区,苏州市相城区允志允学教育培训中心有限公司,外资（非欧美）,,计算机软件,08-15
少儿英语老师(五险一金+双休）,0.7-1.2万/月,深圳-龙岗区,深圳市朗运文化传播有限公司,民营公司,50-150人,教育/培训/院校,08-15
少儿英语老师,4.5-6千/月,武汉-青山区,武汉市青山区秋实培训学校,民营公司,1000-5000人,教育/培训/院校,08-15
中学英语教师,30-40万/年,东莞-大朗镇,东莞市松山湖清澜山学校,民营公司,500-1000人,教育/培训/院校,08-15
小学初中英语老师（五险+医保）,6-8千/月,郑州-中牟县,郑州浩思教育信息咨询有限公司,民营公司,50-150人,教育/培训/院校,08-15
英语老师,0.8-1万/月,青岛-市北区,青岛市市北区智海文化培训学校有限公司,民营公司,,教育/培训/院校,08-15
英语老师,0.6-1万/月,南京-玄武区,南京爱之果教育培训中心有限公司,民营公司,150-500人,教育/培训/院校,08-15
英语老师-助教(双休+武广),6-8万/年,武汉-江汉区,武汉赛拓昂斯教育咨询有限公司,民营公司,50-150人,教育/培训/院校,08-15
少儿英语教师五险包住,6-8千/月,武汉-江岸区,武汉市江岸区爱科西凯美语培训学校,非营利组织,50-150人,教育/培训/院校,08-15
少儿英语老师（不坐班，上市公司）,0.6-1.2万/月,宁波-北仑区,宁波北仑励步英语培训学校有限公司,上市公司,10000人以上,教育/培训/院校,08-15
英语老师,1-2.5万/月,宁波-北仑区,宁波市北仑培英教育培训学校有限公司,民营公司,少于50人,教育/培训/院校,08-15
英语教师（方洲中心）,0.6-1万/月,苏州-工业园区,易贝乐国际少儿英语苏州培训中心,民营公司,150-500人,教育/培训/院校,08-15
小学英语老师(公明）,0.7-1.2万/月,深圳-光明区,深圳市家华文化发展有限公司,民营公司,少于50人,教育/培训/院校,08-15
