职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
数据分析师,1-1.5万/月,北京-大兴区,酒仙网络科技股份有限公司,民营公司,1000-5000人,互联网/电子商务,08-14
BI工程师/数据分析师（天津）,0.8-1.2万/月,天津-西青区,谷川联行有限公司,民营公司,500-1000人,互联网/电子商务,08-14
商业化数据分析师（宁波银行）,6-8千/月,宁波-鄞州区,温州市智通人力资源服务有限公司,上市公司,1000-5000人,金融/投资/证券,08-14
数据分析师,1-1.5万/月,广州-天河区,深圳市四千里数据科技有限公司,民营公司,150-500人,互联网/电子商务,08-14
数据分析师 (MJ002085),1.5-2万/月,重庆,元气森林（北京）食品科技集团有限公司,合资,1000-5000人,快速消费品(食品、饮料、化妆品),08-14
数据分析师,0.9-2万/月,广州-海珠区,广州龙威电子商务有限公司,民营公司,少于50人,互联网/电子商务,08-14
唯品会高级数据分析师（正编）,1.5-2.5万/月,广州-海珠区,广州天生玩家科技有限公司,民营公司,50-150人,计算机软件,08-14
数据分析师,5-8千/月,长沙-雨花区,长沙市丰彩好润佳商贸有限公司,民营公司,1000-5000人,批发/零售,08-14
亚马逊数据分析师,5-8千/月,深圳-龙岗区,深圳创优国际商贸有限公司,民营公司,50-150人,贸易/进出口,08-14
数据银行分析师,1.5-2万/月,上海-闵行区,上海莫凡信息技术有限公司,民营公司,50-150人,互联网/电子商务,08-14
数据分析师,0.8-1万/月,深圳-宝安区,深圳抖屏科技有限公司,民营公司,150-500人,互联网/电子商务,08-14
资深数据分析师（电商）,2-2.5万/月,杭州-西湖区,杭州粉象家科技有限公司,民营公司,150-500人,互联网/电子商务,08-14
BI数据分析师,1.5-3万/月,杭州-江干区,杭州嗨宝贝科技有限公司,民营公司,150-500人,计算机软件,08-14
业务数据分析师（电商方向）,0.8-1.2万/月,成都-高新区,成都市笑脸科技有限公司,民营公司,50-150人,家具/家电/玩具/礼品,08-14
业务数据分析师,6-8千/月,苏州-姑苏区,苏州亿胜通电子商务有限公司,民营公司,50-150人,贸易/进出口,08-14
BA商业分析师/数据分析师,0.8-1万/月,广州-海珠区,广州瀚翼扬电子商务有限公司,民营公司,150-500人,互联网/电子商务,08-14
数据分析师,0.6-1.2万/月,江苏省,立臻科技（昆山）有限公司,外资（非欧美）,10000人以上,计算机硬件,08-14
数据分析师（偏成本）,6-8千/月,成都-成华区,成都泰便利电子商务有限公司,民营公司,5000-10000人,互联网/电子商务,08-14
数据分析师,6-8千/月,深圳-龙华区,深圳市美夕科技有限公司,民营公司,,计算机软件,08-14
数据分析师,0.8-1万/月,深圳-龙华区,深圳市秉高科技有限公司,民营公司,,计算机软件,08-14
数据分析师（跨境电商方向）,4-8千/月,长沙-天心区,湖南乐听科技有限公司,民营公司,50-150人,医疗设备/器械,08-14
数据分析师,8-10万/年,北京-朝阳区,中青联盟大数据研究（北京）有限公司,合资,少于50人,多元化业务集团公司,08-14
数据分析师,0.8-1万/月,杭州-上城区,杭州湖滨银泰in77,外资（非欧美）,150-500人,物业管理/商业中心,08-14
数据分析师,1-1.5万/月,深圳,安芯易电子商务（深圳）有限公司,民营公司,150-500人,电子技术/半导体/集成电路,08-14
高级数据分析师,1-1.5万/月,温州-龙湾区,浙江申汇金融服务外包有限公司,民营公司,50-150人,法律,08-14
Senior Data Analysis APAC Quality 高级数据分析师,1.5-2.5万/月,上海-嘉定区,Volvo Car China 沃尔沃汽车中国,外资（欧美）,1000-5000人,汽车,08-14
数据分析师,0.8-1万/月,广州-越秀区,广东兆丰恒业黄金有限公司,民营公司,,金融/投资/证券,08-14
数据分析师,2-3万/月,武汉-武昌区,曼迪匹艾（武汉）科技服务有限公司,合资,1000-5000人,学术/科研,08-14
数据分析师,0.8-1万/月,南京-建邺区,南京呆萌猫网络科技有限公司,民营公司,50-150人,网络游戏,08-14
助理数据分析师,6-8万/年,上海-黄浦区,上海阙天商务信息咨询有限公司,民营公司,50-150人,专业服务(咨询、人力资源、财会),08-14
数据分析师,6-8千/月,上海-静安区,睿锦尚品国际贸易（上海）有限公司,国企,150-500人,奢侈品/收藏品/工艺品/珠宝,08-14
数据分析师,2-4万/月,长沙-雨花区,北京华夏威科软件技术有限公司,民营公司,50-150人,计算机软件,08-14
广告数据分析师,1-1.5万/月,上海-闵行区,昆山衣尚品信息技术有限公司,民营公司,少于50人,贸易/进出口,08-14
数据分析师 双休,6-8千/月,深圳-龙华区,深圳天牧云信息咨询有限公司,民营公司,50-150人,互联网/电子商务,08-14
大数据分析师,6-8千/月,深圳-龙华区,深圳市名扬盛世文化传播有限公司,民营公司,50-150人,计算机软件,08-14
数据分析师,0.8-1万/月,上海-长宁区,上海斐毡商贸有限公司,合资,150-500人,批发/零售,08-14
数据分析师,1-1.5万/月,上海-浦东新区,上海神州数码有限公司,上市公司,500-1000人,计算机服务(系统、数据服务、维修),08-14
数据分析师(业务分析师）,1-2万/月,沈阳-浑南区,北京锐软科技股份有限公司,民营公司,50-150人,计算机软件,08-14
高级生物信息数据分析师,1-3万/月,南京-浦口区,江苏傲因医疗科技有限公司,民营公司,少于50人,制药/生物工程,08-14
数据分析师,1.2-1.8万/月,北京-通州区,极点智汇（北京）信息科技有限公司,民营公司,50-150人,金融/投资/证券,08-14
银行数据分析师 (J001525),4.5-6千/月,佛山-南海区,深圳市银雁金融服务有限公司佛山分公司,民营公司,1000-5000人,银行,08-14
数据分析师,2-3.5万/月,杭州-余杭区,绍兴环思智慧科技股份有限公司,上市公司,500-1000人,计算机软件,08-14
数据分析师（桥头地铁B出口）,4-8千/月,深圳-宝安区,深圳市店块链信息有限公司,民营公司,50-150人,计算机软件,08-14
数据分析师/一定不加班/双休,4.5-8千/月,武汉-东湖新技术产业开发区,武汉市优鲜驿站科技有限公司,民营公司,,批发/零售,08-14
数据分析师,3-4万/月,上海-徐汇区,宁波英孚婴童用品有限公司,外资（非欧美）,150-500人,贸易/进出口,08-14
数据分析师,0.8-1万/月,宁波-鄞州区,傲基科技股份有限公司,上市公司,1000-5000人,互联网/电子商务,08-14
数据分析师,3-4.5千/月,重庆-九龙坡区,重庆易新氧科技有限公司,民营公司,少于50人,互联网/电子商务,08-14
数据分析师,4.5-6千/月,泉州,福建省晋江巧妈妈食品有限公司,民营公司,500-1000人,快速消费品(食品、饮料、化妆品),08-14
大气数据分析师,0.7-1.1万/月,唐山,深圳市环思科技有限公司,民营公司,少于50人,专业服务(咨询、人力资源、财会),08-14
数据分析师,1-1.5万/月,广东省,广东中天粤会计师事务所（特殊普通合伙）,民营公司,150-500人,会计/审计,08-14
Python数据分析师,0.7-1.4万/月,上海-徐汇区,上海正品贵德软件有限公司,上市公司,150-500人,计算机软件,08-14
数据分析师,4-6千/月,佛山,佛山市元亨利贞信息科技有限公司,民营公司,50-150人,计算机服务(系统、数据服务、维修),08-14
高级数据分析师,1.5-2.5万/月,深圳,深圳盈富斯科技有限公司,外资（欧美）,1000-5000人,互联网/电子商务,08-14
数据分析师,10-15万/年,上海-杨浦区,上海天眷律师事务所,民营公司,150-500人,法律,08-14
数据分析师（ABG）,0.8-1.2万/月,广州-天河区,北京车欢欢信息技术有限公司,民营公司,150-500人,计算机软件,08-14
数据分析师,1.5-1.8万/月,上海,上海麦昱建筑设计咨询事务所,外资（非欧美）,50-150人,建筑/建材/工程,08-14
数据分析师,6-8千/月,成都-高新区,成都考拉悠然科技有限公司,合资,50-150人,计算机软件,08-14
数据分析师,0.8-1万/月,上海-徐汇区,上海点欣科技有限公司,民营公司,50-150人,计算机软件,08-14
数据专员（数据分析师）,5-8千/月,武汉-江汉区,武汉永隆酒业有限责任公司,民营公司,150-500人,批发/零售,08-14
数据分析师,0.9-1万/月,上海-徐汇区,上海皖江实业有限公司,民营公司,50-150人,机械/设备/重工,08-14
数据分析师,10-15万/年,宁波-高新区,宁波太平鸟时尚服饰股份有限公司,民营公司,5000-10000人,服装/纺织/皮革,08-14
商业（高级）数据分析师,1.5-2万/月,武汉-洪山区,深圳市飞速创新技术股份有限公司武汉分公司,民营公司,1000-5000人,互联网/电子商务,08-14
数据分析师,1.5-2.2万/月,深圳-龙华区,深圳市昇利扬科技有限公司,民营公司,150-500人,计算机软件,08-14
数据分析师//商品专员（地铁上盖）,0.7-1万/月,广州-白云区,MIDI.优品汇公司,合资,150-500人,快速消费品(食品、饮料、化妆品),08-14
数据分析师,2.5-3万/月,北京,施耐德电气（中国）有限公司,外资（欧美）,10000人以上,电气/电力/水利,08-14
银行数据分析师,3.3-4千/月,青岛-崂山区,青岛东石教育咨询有限公司,国企,50-150人,专业服务(咨询、人力资源、财会),08-14
数据分析师,4-6千/月,长沙,长沙先马电子商务有限公司,民营公司,150-500人,互联网/电子商务,08-14
大数据分析师,1.2-2.4万/月,武汉-洪山区,中燃宝电气（深圳）有限公司,合资,150-500人,电气/电力/水利,08-14
数据分析师,1-1.5万/月,成都-高新区,成都止观互娱科技有限公司,民营公司,50-150人,网络游戏,08-14
数据分析师,0.8-1万/月,深圳,深圳市品质消费研究院,事业单位,50-150人,检测，认证,08-14
数据分析师6-10K+双休,0.6-1.2万/月,青岛-市南区,青岛嘉淼网络科技有限公司,民营公司,,通信/电信/网络设备,08-14
数据分析员/数据分析师,7-9千/月,青岛-市北区,青岛五纪文化传媒有限公司,民营公司,150-500人,影视/媒体/艺术/文化传播,08-14
数据分析师,0.6-1万/月,东莞,美宜佳控股有限公司,民营公司,1000-5000人,批发/零售,08-14
数据分析师,0.8-1万/月,昆明,云南浩宏物流有限公司,民营公司,150-500人,多元化业务集团公司,08-14
数据分析师,0.8-1.5万/月,广州-白云区,广州市亿致服饰有限公司,民营公司,150-500人,服装/纺织/皮革,08-14
广告投放及数据分析师,0.9-1.8万/月,上海-徐汇区,上海朵安诺电子商务有限公司,民营公司,少于50人,互联网/电子商务,08-14
数据分析师,8-10万/年,武汉-武昌区,洁深源（武汉）节能环保科技有限公司,民营公司,5000-10000人,多元化业务集团公司,08-14
数据分析师,6-8千/月,重庆-南岸区,重庆谊品弘渝科技有限公司,民营公司,10000人以上,批发/零售,08-14
数据分析师,2.5-3万/月,深圳-南山区,杭州涂鸦信息技术有限公司,上市公司,1000-5000人,计算机软件,08-14
数据分析师,0.9-1.5万/月,长沙-岳麓区,湖南草花互动科技股份公司,民营公司,150-500人,网络游戏,08-14
数据分析师,0.6-1.2万/月,中山-东区,中山快享成贸易有限公司,外资（非欧美）,50-150人,贸易/进出口,08-14
大数据分析师,3-4万/月,杭州-余杭区,泓盛泰企业管理,民营公司,500-1000人,互联网/电子商务,08-14
数据分析师,1.5-2万/月,杭州-滨江区,杭州紫音服饰有限公司,民营公司,150-500人,互联网/电子商务,08-14
高级数据分析师,1-1.5万/月,广州-黄埔区,广州市昊志机电股份有限公司,上市公司,1000-5000人,机械/设备/重工,08-14
数据分析师,0.8-1.2万/月,广州,嫚熙控股（广州）有限公司,民营公司,500-1000人,互联网/电子商务,08-14
数据分析师,0.8-1万/月,武汉,武汉优美网络技术有限公司,民营公司,500-1000人,互联网/电子商务,08-14
深圳 数据分析师,1-2.5万/月,深圳-福田区,深圳市乐有家控股集团有限公司,民营公司,10000人以上,房地产,08-14
数据分析师,0.8-1.5万/月,温州,温州市冠盛汽车零部件集团股份有限公司,上市公司,1000-5000人,汽车,08-14
数据分析师,1-1.5万/月,深圳-罗湖区,深圳六桂盛世珠宝首饰有限公司,民营公司,1000-5000人,奢侈品/收藏品/工艺品/珠宝,08-14
BI数据分析师,0.8-1.3万/月,广州-南沙区,广东芬尼克兹节能设备有限公司,民营公司,1000-5000人,机械/设备/重工,08-14
数据分析师,0.8-1.5万/月,深圳-龙岗区,深圳市京华达物流有限公司,民营公司,150-500人,交通/运输/物流,08-14
数据分析师,6.5-9千/月,深圳-龙华区,富士康科技集团CMBU,外资（非欧美）,10000人以上,电子技术/半导体/集成电路,08-14
数据分析师(J10649),0.8-1.6万/月,珠海,珠海格力电器股份有限公司,国企,10000人以上,家具/家电/玩具/礼品,08-14
数据分析师,0.8-1万/月,天津-滨海新区,外资500强知名银行,外资（欧美）,5000-10000人,金融/投资/证券,08-14
高级数据分析师(商业分析),1.5-3万/月,广州-海珠区,广州市易工品科技有限公司,民营公司,500-1000人,互联网/电子商务,08-14
数据分析师（反欺诈反洗钱）,1-1.5万/月,深圳-福田区,深圳华策辉弘科技有限公司,外资（非欧美）,50-150人,计算机软件,08-14
高级数据分析师,1-1.3万/月,福州-闽侯县,福州扬腾网络科技有限公司,民营公司,500-1000人,互联网/电子商务,08-14
数据分析师,1.5-2万/月,广州-黄埔区,广州玉衡供应链管理有限公司,民营公司,1000-5000人,服装/纺织/皮革,08-14
跨境电商数据分析师,1-1.5万/月,广州-白云区,广州苏帕雷电子有限公司,民营公司,50-150人,贸易/进出口,08-14
数据分析师,6-8千/月,苏州-工业园区,蓝河（苏州）食品有限公司,民营公司,50-150人,快速消费品(食品、饮料、化妆品),08-14
数据分析师,6-8千/月,贵阳,贵州赫思图商贸有限公司,民营公司,少于50人,服装/纺织/皮革,08-14
数据分析师,6-8千/月,沈阳-沈河区,沈阳森众志诚房地产经纪有限公司沈河分公司,民营公司,150-500人,房地产,08-14
数据分析师,1.5-2.5万/月,南京-浦口区,益客集团,民营公司,10000人以上,农/林/牧/渔,08-14
IE数据分析师,1-1.5万/月,广州-番禺区,广州春晓信息科技有限公司,民营公司,少于50人,计算机软件,08-14
数据分析师,1.5-2万/月,东莞-南城区,东莞市贞元网络技术有限公司,民营公司,50-150人,互联网/电子商务,08-14
数据分析师,4-7千/月,广州-番禺区,广州臣通橙园信息科技有限公司,民营公司,50-150人,房地产,08-14
数据分析师（月薪6k起+不加班）,8-10万/年,广州-越秀区,广东兆丰恒业黄金有限公司,民营公司,,金融/投资/证券,08-14
亚马逊数据分析师,0.7-1.5万/月,深圳-龙岗区,深圳市简驿科技有限公司,民营公司,1000-5000人,互联网/电子商务,08-14
数据分析师助理/提供住宿,6-8千/月,深圳-宝安区,深圳市鸿伟互联网信息服务有限公司,民营公司,,计算机软件,08-14
数据分析师,0.8-1万/月,成都,美莱医学美容医院有限公司,民营公司,150-500人,医疗/护理/卫生,08-14
数据银行分析师,1-2万/月,广州-番禺区,优象文化（广州）有限公司,创业公司,150-500人,互联网/电子商务,08-14
CRM数据分析师,0.6-1万/月,宁波,宁波时代铝箔科技股份有限公司,民营公司,150-500人,快速消费品(食品、饮料、化妆品),08-14
数据分析师,10-15万/年,武汉-武昌区,武汉悦之时光科技有限公司,民营公司,50-150人,计算机软件,08-14
数据分析师,1-1.5万/月,温州-龙湾区,浙江新兔科技有限公司,民营公司,500-1000人,互联网/电子商务,08-14
数据分析师,4-6千/月,南京-建邺区,南京保加利体育用品有限公司,民营公司,500-1000人,批发/零售,08-14
数据分析师,1.5-2万/月,上海-浦东新区,上海君实生物医药科技股份有限公司,上市公司,1000-5000人,制药/生物工程,08-14
IT数据分析师,1.2-2万/月,常州,江苏久诺建材科技股份有限公司,上市公司,500-1000人,建筑/建材/工程,08-14
数据分析师,1.2-2万/月,上海-徐汇区,上海卓易科技股份有限公司,上市公司,150-500人,互联网/电子商务,08-14
数据分析师,0.8-1.2万/月,广州,广州欧博化妆品有限公司,民营公司,5000-10000人,快速消费品(食品、饮料、化妆品),08-14
BI数据分析师 (MJ000075),0.8-1.3万/月,上海-闵行区,锅圈供应链（上海）有限公司,民营公司,1000-5000人,餐饮业,08-14
数据分析师,0.6-1.2万/月,武汉-东西湖区,武汉策马商贸发展有限公司,民营公司,少于50人,服装/纺织/皮革,08-14
数据分析师,0.8-1万/月,佛山,广东乐从钢铁世界有限公司,民营公司,150-500人,物业管理/商业中心,08-14
数据分析师,1-1.5万/月,杭州-余杭区,杭州易儿科技有限公司,民营公司,少于50人,计算机软件,08-14
数据分析师,0.5-1万/月,福州,福建省凯洛酒庄投资有限公司,民营公司,50-150人,快速消费品(食品、饮料、化妆品),08-14
数据分析师,4-6千/月,昆明-呈贡区,云南极兔供应链有限公司,民营公司,500-1000人,交通/运输/物流,08-14
数据分析师,10-15万/年,武汉-武昌区,武汉市仁信科贸有限公司,民营公司,,计算机软件,08-14
数据分析师,6-8千/月,上海-松江区,上海顶利欣食品有限公司,民营公司,150-500人,快速消费品(食品、饮料、化妆品),08-14
数据分析师,0.6-1万/月,南昌-南昌县,中联物流（中国）有限公司,民营公司,1000-5000人,交通/运输/物流,08-14
物流数据分析师,4.5-6.5千/月,广州-番禺区,广州优尼客贸易有限公司,民营公司,少于50人,互联网/电子商务,08-14
数据分析师,0.7-1.2万/月,深圳-罗湖区,佳峰投资控股集团有限公司,民营公司,150-500人,多元化业务集团公司,08-14
数据分析师,6-8千/月,深圳-南山区,深圳赞橙网络科技有限公司,民营公司,50-150人,计算机软件,08-14
数据分析师,1.5-2万/月,深圳-龙岗区,广东启悦未来科技股份有限公司,民营公司,5000-10000人,服装/纺织/皮革,08-14
数据分析师,0.5-1万/月,佛山-南海区,佛山市德朗司科技有限公司,民营公司,50-150人,互联网/电子商务,08-14
运营数据分析师,1.5-3万/月,深圳-南山区,深圳为华网络科技有限公司,民营公司,1000-5000人,贸易/进出口,08-14
数据分析师,0.8-2万/月,广州-花都区,广州市兑正贸易有限公司,民营公司,50-150人,互联网/电子商务,08-14
BI大数据分析师实习生+周末双休,6-8千/月,深圳-南山区,深圳市音悦文化艺术有限公司,民营公司,少于50人,教育/培训/院校,08-14
数据分析师（知识图谱方向）,1.5-2万/月,广州,广东铭太信息科技有限公司,民营公司,150-500人,计算机软件,08-14
数据分析师,1-1.5万/月,广州-番禺区,广州玖泽品牌咨询管理有限责任公司,民营公司,500-1000人,服装/纺织/皮革,08-14
数据分析师,5-6千/月,嘉兴,嘉兴恒杰生物制药股份有限公司,民营公司,50-150人,制药/生物工程,08-14
公路收费客服中心—运营部数据分析师,0.7-1万/月,昆明-西山区,云南前程卓易通讯技术服务有限公司,民营公司,500-1000人,通信/电信运营、增值服务,08-14
数据分析师,4.5-6千/月,佛山-南海区,佛山汇诚鸿图房地产顾问有限公司,民营公司,150-500人,房地产,08-14
数据分析师,0.6-1万/月,东莞-凤岗镇,东莞市库珀电子有限公司,民营公司,1000-5000人,电子技术/半导体/集成电路,08-14
数据分析师,0.8-1.8万/月,东莞,东莞搜谷计算机系统有限公司,民营公司,500-1000人,互联网/电子商务,08-14
数据分析师,0.8-1.5万/月,武汉-洪山区,武汉乐薇电子商务有限公司,民营公司,50-150人,互联网/电子商务,08-14
数据分析师,5-7千/月,合肥-高新区,安徽科创中光科技有限公司,民营公司,150-500人,环保,08-14
数据分析师/双休,6-8千/月,重庆-江北区,重庆鑫森焱科技有限公司,民营公司,50-150人,互联网/电子商务,08-14
数据分析师,6-8千/月,西安,陕西众拓科技发展有限公司,民营公司,少于50人,电子技术/半导体/集成电路,08-14
数据分析师,0.8-1万/月,武汉-江夏区,湖南星傲科技有限公司,民营公司,,专业服务(咨询、人力资源、财会),08-14
数据分析师,1-2万/月,广州-番禺区,范可辛服饰（广州）有限公司,民营公司,50-150人,批发/零售,08-14
数据分析师,0.7-1.5万/月,上海-闵行区,索菲亚衣柜,民营公司,1000-5000人,家居/室内设计/装潢,08-14
数据分析师,0.8-1.5万/月,深圳-光明区,深圳市天得一环境科技有限公司,民营公司,150-500人,环保,08-14
商业数据分析师,1.5-2万/月,杭州-余杭区,杭州诺贝尔陶瓷有限公司,民营公司,5000-10000人,建筑/建材/工程,08-14
数据分析师/销售数据分析,5-7千/月,广州-天河区,康朝药业有限公司,民营公司,1000-5000人,制药/生物工程,08-14
数据分析师,0.6-1.2万/月,深圳-福田区,深圳市无限极科技有限公司,民营公司,50-150人,互联网/电子商务,08-14
数据分析师,0.5-1万/月,金华,道明光学股份有限公司,上市公司,1000-5000人,石油/化工/矿产/地质,08-14
数据分析师,1.5-2.5万/月,深圳-龙华区,深圳市联星服装辅料有限公司,上市公司,1000-5000人,服装/纺织/皮革,08-14
数据分析师,0.5-1万/月,济南-历城区,山东康准信息科技有限公司,民营公司,50-150人,计算机软件,08-14
高级数据分析师,1-1.5万/月,昆山,昆山联滔电子有限公司,上市公司,10000人以上,电子技术/半导体/集成电路,08-14
数据分析师,0.5-1万/月,镇江,锐一国际贸易有限公司,创业公司,少于50人,贸易/进出口,08-14
数据分析师,1-1.5万/月,清远,广东天农食品集团股份有限公司,合资,1000-5000人,农/林/牧/渔,08-14
数据分析师,6-8千/月,佛山-顺德区,肇庆市现代筑美家居有限公司,外资（欧美）,5000-10000人,家居/室内设计/装潢,08-14
数据分析师,0.8-1.3万/月,深圳-宝安区,深圳市绘王动漫科技有限公司,民营公司,500-1000人,计算机硬件,08-14
数据分析师（平台）,6-8千/月,长沙-芙蓉区,澳优乳业（中国）有限公司-能立多事业部,合资,500-1000人,快速消费品(食品、饮料、化妆品),08-14
数据分析师/数据专员,8-10万/年,宁波-余姚市,宁波和氏贝婴童用品有限公司,民营公司,50-150人,贸易/进出口,08-14
数据分析师（临海）,0.7-1.4万/月,台州,浙江伟星实业发展股份有限公司,民营公司,5000-10000人,服装/纺织/皮革,08-14
C数据分析师VBA,0.7-1.2万/月,惠州,惠州市赢合科技有限公司,上市公司,1000-5000人,机械/设备/重工,08-14
数据分析师（专利文献标引员）,0.6-1万/月,苏州-高新区,中知高德知识产权运营管理（苏州）有限公司,国企,少于50人,专业服务(咨询、人力资源、财会),08-14
数据分析师,0.6-1.5万/月,杭州,喜沃商品（中国）有限公司,合资,50-150人,互联网/电子商务,08-14
数据分析师,0.8-1.5万/月,深圳-龙岗区,深圳市冠旭电子股份有限公司,民营公司,1000-5000人,电子技术/半导体/集成电路,08-14
数据分析师（电商）,1.5-2万/月,深圳-龙华区,深圳市华宝新能源股份有限公司,民营公司,500-1000人,新能源,08-14
数据分析师,1.2-2万/月,广州-番禺区,南极电商（上海）有限公司,上市公司,500-1000人,互联网/电子商务,08-14
数据分析师,0.8-1万/月,上海-青浦区,上海原子风暴科技有限公司,民营公司,50-150人,计算机软件,08-14
数据分析师,2-2.5万/月,深圳-宝安区,深圳安吉尔饮水产业集团有限公司,民营公司,1000-5000人,家具/家电/玩具/礼品,08-14
数据分析师,0.8-1.5万/月,广州-荔湾区,广州时易中信息科技有限公司,民营公司,500-1000人,贸易/进出口,08-14
数据分析师,1-1.5万/月,上海-浦东新区,上海陆杰电子科技有限公司,民营公司,50-150人,电子技术/半导体/集成电路,08-14
数据分析师,0.8-1万/月,上海-浦东新区,上海趵朴投资管理有限公司,民营公司,50-150人,金融/投资/证券,08-14
数据分析师,1-1.5万/月,上海-黄浦区,上海丰凡文化传媒有限公司,民营公司,150-500人,影视/媒体/艺术/文化传播,08-14
腾讯客服-数据分析师,0.7-1万/月,成都-高新区,腾讯RDM,上市公司,1000-5000人,计算机软件,08-14
数据 分析师 运营师 统计师,1.5-2.5万/月,上海-静安区,喜士多便利店C-STORE-零售业-连锁,民营公司,1000-5000人,批发/零售,08-14
商业数据分析师,1.5-2万/月,上海-普陀区,上海寺二文化传播有限公司,民营公司,50-150人,影视/媒体/艺术/文化传播,08-14
数据分析师+双休+7800月,0.7-1.1万/月,重庆-江北区,中国平安人寿保险股份有限公司重庆市江北支公司五里店营业部,上市公司,少于50人,互联网/电子商务,08-13
数据分析师/双休/11000月,0.7-1.1万/月,重庆-江北区,中国平安人寿保险股份有限公司重庆市江北支公司五里店营业部,上市公司,10000人以上,互联网/电子商务,08-13
数据分析师,0.8-1.3万/月,武汉-江汉区,武汉博科国泰信息技术有限公司,民营公司,50-150人,计算机软件,08-13
（高级）商业数据分析师,1.5-2.8万/月,重庆-沙坪坝区,重庆小租网络科技有限公司,民营公司,500-1000人,交通/运输/物流,08-13
数据分析师,4-8千/月,杭州-西湖区,浙江网盛数新软件股份有限公司,民营公司,150-500人,计算机软件,08-13
数据分析师（销售策略）,1-1.5万/月,广州-番禺区,百度呼叫中心,上市公司,1000-5000人,计算机软件,08-13
数据分析师（***）,5-8千/月,南昌,深圳百果园实业（集团）股份有限公司,民营公司,10000人以上,批发/零售,08-13
数据分析师,0.6-1万/月,杭州-余杭区,杭州卓亨服饰有限公司,民营公司,500-1000人,服装/纺织/皮革,08-13
临床数据统计分析师,1-1.5万/月,南京-浦口区,南京帝基生物科技有限公司,民营公司,50-150人,制药/生物工程,08-13
数据分析师,1-1.5万/月,深圳-龙岗区,深圳智汇创想科技有限责任公司,民营公司,500-1000人,互联网/电子商务,08-13
初级数据分析师,6-8千/月,广州-天河区,广州汇才创智科技有限公司,民营公司,150-500人,计算机软件,08-13
数据分析师,6-8千/月,西安,陕西晨曦物联网科技有限公司,民营公司,少于50人,互联网/电子商务,08-13
商业数据分析师,0.8-1万/月,杭州,杭州安致电子商务股份有限公司,民营公司,50-150人,互联网/电子商务,08-13
数据分析师,6-8千/月,北京-朝阳区,北京酷车易美网络科技有限公司,民营公司,150-500人,互联网/电子商务,08-13
数据分析师,6-8千/月,西安-雁塔区,中科特思信息技术（深圳）有限公司西安分公司,民营公司,50-150人,通信/电信/网络设备,08-13
数据分析师,0.7-1万/月,广州-海珠区,广州市原象信息科技有限公司,民营公司,150-500人,广告,08-13
数据选品分析师（出海产品/实体商品）,0.9-1.8万/月,广州-天河区,广州米波智联科技有限公司,创业公司,少于50人,互联网/电子商务,08-13
媒体研究经理/数据分析师（媒体研究方向）,1-1.5万/月,北京,北京新联财通咨询有限公司,民营公司,150-500人,专业服务(咨询、人力资源、财会),08-13
金融数据分析师助理、经理助理,6-8千/月,北京-朝阳区,嘉诺恒盛（北京）教育科技有限公司,民营公司,,金融/投资/证券,08-13
高级数据分析师（BI）,1.5-1.8万/月,上海-徐汇区,太平洋房屋,外资（非欧美）,5000-10000人,房地产,08-13
数据分析师/主管（零售方向）,0.8-1万/月,珠海,珠海何方珠宝有限公司,民营公司,50-150人,奢侈品/收藏品/工艺品/珠宝,08-13
初级数据分析师 实习生,6-8千/月,深圳-宝安区,深圳市博瑞纳电子商务有限公司,民营公司,少于50人,计算机软件,08-13
初级数据分析师,6-8千/月,上海-静安区,上海皇家网络科技有限公司,民营公司,50-150人,计算机软件,08-13
中级数据分析师,1.2-1.6万/月,深圳-龙岗区,凯儿得乐（深圳）科技发展有限公司,民营公司,150-500人,快速消费品(食品、饮料、化妆品),08-13
商品数据分析师,6-8千/月,上海-闵行区,上海骊周信息科技有限公司,民营公司,少于50人,服装/纺织/皮革,08-13
高级数据分析师,20-30万/年,佛山-顺德区,佛山市顺德区库斯家具实业有限公司,民营公司,500-1000人,家具/家电/玩具/礼品,08-13
数据分析师,1.5-2万/月,深圳,广东盛迪嘉集团有限公司,民营公司,150-500人,房地产,08-13
数据分析师,6-8千/月,杭州-滨江区,杭州昌立信息科技有限公司,民营公司,50-150人,互联网/电子商务,08-13
数据分析师,1.3-2.2万/月,深圳-南山区,深圳市乐易网络股份有限公司,民营公司,150-500人,网络游戏,08-13
数据分析师,6-8千/月,武汉-江岸区,武汉跳动全城舞蹈文化传播有限公司,民营公司,500-1000人,教育/培训/院校,08-13
数据分析师,4-6千/月,佛山-南海区,广东泰盈科技有限公司,上市公司,10000人以上,通信/电信运营、增值服务,08-13
数据分析师,0.8-1.5万/月,深圳-福田区,深圳华强电子网集团股份有限公司,民营公司,500-1000人,互联网/电子商务,08-13
数据分析师/包住+6K起,6-8千/月,珠海-香洲区,珠海市诺德新锐科技有限公司,民营公司,,互联网/电子商务,08-13
数据分析师,1.2-1.8万/月,广州-越秀区,广州美滴滴信息科技有限公司,民营公司,少于50人,互联网/电子商务,08-13
BI数据分析师,1.2-1.8万/月,广州-番禺区,广州海际宠物贸易有限公司,民营公司,150-500人,互联网/电子商务,08-13
数据分析师 (MJ000710),1-2万/月,广州-番禺区,广州细刻网络科技有限公司,民营公司,1000-5000人,互联网/电子商务,08-13
