职位,薪酬,城市,公司名称,公司类型,公司规模（人）,公司经营方向,发布日期
资深数据分析师(J210702051),2.5-3万/月,杭州,滴滴,民营公司,10000人以上,互联网/电子商务,08-15
高级数据分析师,1.5-2万/月,深圳-南山区,喜茶,民营公司,10000人以上,餐饮业,08-15
助理数据分析师（东莞）,0.6-1万/月,东莞,vivo,民营公司,10000人以上,通信/电信/网络设备,08-15
数据运营分析师,1.5-2.5万/月,深圳-龙华区,武汉佰钧成技术有限责任公司,民营公司,10000人以上,计算机软件,08-15
数据分析师(业务分析方向）,0.7-1.2万/月,武汉-洪山区,小红书,合资,1000-5000人,互联网/电子商务,08-15
数据分析师/主管,4-6千/月,四平,瑞颖常青医疗科技（北京）有限公司,民营公司,50-150人,医疗/护理/卫生,08-15
数据分析师（电商）,1-1.5万/月,广州-天河区,广东骏丰频谱股份有限公司,民营公司,5000-10000人,医疗设备/器械,08-15
数据分析师（亚马逊）,1.5-2万/月,深圳-龙岗区,深圳市超乐科技有限公司,民营公司,,计算机软件,08-15
数据分析师（运营支持）,0.8-1.5万/月,广州-海珠区,广州真柳首饰有限公司,民营公司,150-500人,奢侈品/收藏品/工艺品/珠宝,08-15
数据分析师（化妆品运营支持）,0.6-1.2万/月,广州-白云区,广东艾圣日用化学品有限公司,民营公司,500-1000人,快速消费品(食品、饮料、化妆品),08-15
数据分析师,0.8-1.5万/月,上海,上海东锦食品集团有限公司,民营公司,1000-5000人,快速消费品(食品、饮料、化妆品),08-15
数据分析师,1-1.5万/月,深圳-南山区,成都宏山物语文化传播有限公司,民营公司,,影视/媒体/艺术/文化传播,08-15
跨境电商数据分析师,2-4万/月,深圳-龙华区,深圳市神来一笔科技有限公司,民营公司,50-150人,互联网/电子商务,08-15
学习数据分析师,1.5-2.5万/月,深圳-南山区,风变科技（深圳）有限公司,民营公司,500-1000人,互联网/电子商务,08-15
数据分析师,1-1.5万/月,深圳-南山区,京北方信息技术股份有限公司BPO,民营公司,10000人以上,计算机服务(系统、数据服务、维修),08-15
数据分析师,1.5-2万/月,上海-青浦区,醇馨信息,上市公司,5000-10000人,金融/投资/证券,08-15
月薪20K数据分析师,2-2.5万/月,广州-天河区,道格集团,民营公司,150-500人,互联网/电子商务,08-15
数据分析师,15-20万/年,常熟,波司登羽绒服装有限公司,民营公司,10000人以上,服装/纺织/皮革,08-15
高级数据分析师,2-4万/月,深圳-南山区,华米科技,上市公司,1000-5000人,互联网/电子商务,08-15
数据分析师,6-8千/月,天津-西青区,天津卓漫科技有限公司,民营公司,500-1000人,计算机软件,08-15
数据分析师（双休）,1-1.5万/月,广州-越秀区,广东兆丰恒业黄金有限公司,民营公司,,金融/投资/证券,08-15
教育数据分析师,1.2-1.6万/月,无锡-滨湖区,江苏捷成睿创科技发展有限公司,合资,,计算机软件,08-15
高级数据分析师+六险一金,2-4万/月,广州-海珠区,佛山市宏浩康电子商务有限公司,民营公司,150-500人,互联网/电子商务,08-15
数据分析师,1.5-2万/月,广州,广州广电计量检测股份有限公司,国企,1000-5000人,检测，认证,08-15
数据分析师,0.5-1万/月,西安-莲湖区,陕西嘉信天懿商务信息咨询有限公司,民营公司,少于50人,专业服务(咨询、人力资源、财会),08-15
大数据分析师,6-8千/月,南昌-红谷滩新区,江西尚科信息技术有限公司,合资,,计算机软件,08-15
数据分析师-(研究开发部）,1.5-2.5万/月,深圳-福田区,中电科新型智慧城市研究院有限公司,国企,150-500人,计算机服务(系统、数据服务、维修),08-15
数据分析师,1-1.5万/月,上海-长宁区,乐渊网络科技（上海）有限公司,民营公司,150-500人,互联网/电子商务,08-15
数据分析师,7-8千/月,广州,联想中望系统服务有限公司（现越亮传奇科技股份有限公司）,合资,500-1000人,计算机软件,08-15
数据分析师（HR方向）,1-1.5万/月,上海-虹口区,美丽田园医疗健康产业有限公司,民营公司,1000-5000人,美容/保健,08-15
数据分析师,4.5-7千/月,青岛-即墨区,天津博和利统计大数据有限公司,民营公司,50-150人,计算机软件,08-15
新人群消费数据分析师,1-1.5万/月,西安-碑林区,陕西五环胜道运动产业开发有限公司,民营公司,1000-5000人,批发/零售,08-15
高级数据分析师,6-8千/月,青岛-城阳区,青岛捷盈科技服务有限公司,民营公司,50-150人,计算机服务(系统、数据服务、维修),08-15
高级数据分析师,1.8-2.5万/月,广州-荔湾区,今大福生态茶业有限公司广东分公司,民营公司,150-500人,快速消费品(食品、饮料、化妆品),08-15
数据分析师,0.8-1万/月,上海-静安区,利多星（上海）投资管理有限公司,民营公司,150-500人,金融/投资/证券,08-15
数据分析师,0.6-1万/月,南京,南京瑞利科学仪器有限公司,民营公司,少于50人,仪器仪表/工业自动化,08-15
初级数据分析师,0.8-1.2万/月,深圳-宝安区,深圳市诚达通国际货运代理有限公司,民营公司,,电子技术/半导体/集成电路,08-15
数据分析师,4-6千/月,上海-青浦区,浙江东宇物流有限公司,民营公司,1000-5000人,交通/运输/物流,08-15
运营数据分析师,1-1.5万/月,深圳-龙华区,购乐贸易（深圳）有限公司,民营公司,150-500人,互联网/电子商务,08-15
数据分析师,1.8-2.5万/月,上海-长宁区,上海西井信息科技有限公司,民营公司,150-500人,交通/运输/物流,08-15
数据银行分析师,1.2-1.5万/月,上海-徐汇区,丽人丽妆,上市公司,1000-5000人,互联网/电子商务,08-15
数据分析师,1.5-2万/月,成都-青羊区,成都拓普颐德科技有限公司,民营公司,50-150人,专业服务(咨询、人力资源、财会),08-15
数据分析师,6-8千/月,合肥-滨湖新区,安徽跨球国际贸易有限公司,民营公司,50-150人,贸易/进出口,08-15
商品数据分析师,0.7-1.2万/月,广州-荔湾区,佛山市银鳞堂科技有限公司,民营公司,150-500人,服装/纺织/皮革,08-15
数据分析师,0.5-1万/月,长沙,长沙远望软件技术有限公司,民营公司,50-150人,计算机软件,08-15
数据分析师,1-1.8万/月,广州-黄埔区,广州康立明生物科技股份有限公司,民营公司,500-1000人,制药/生物工程,08-15
数据分析师（SQL方向）,1.4-2.2万/月,广州-荔湾区,绿瘦健康产业集团股份有限公司,民营公司,5000-10000人,美容/保健,08-15
（双休）数据分析师 10k起,1-1.5万/月,广州-天河区,广州优品数据科技有限公司,民营公司,150-500人,互联网/电子商务,08-15
数据分析师,4-8千/月,石家庄-新华区,北京慧智康健医药科技有限公司,民营公司,少于50人,制药/生物工程,08-15
数据分析师,1-1.5万/月,杭州,杭州致成能源科技有限公司,民营公司,150-500人,计算机软件,08-15
数据分析师,0.8-1.3万/月,宁波-鄞州区,宁波鄞银金融科技有限责任公司,民营公司,50-150人,计算机软件,08-15
数据分析师+双休+底薪5K+,0.8-1万/月,成都-高新区,成都霖翰丰恒信息技术咨询有限公司,民营公司,50-150人,互联网/电子商务,08-15
高级数据分析师,1-3万/月,北京-朝阳区,北京澎湃信用管理有限公司,民营公司,少于50人,计算机软件,08-15
临床数据分析师,1-1.5万/月,南京-秦淮区,南京医格尔信息科技有限公司,民营公司,150-500人,计算机软件,08-15
游戏运营数据分析师,0.8-1.5万/月,广州-天河区,嘉米游戏,民营公司,50-150人,网络游戏,08-15
数据分析师,0.8-1万/月,成都-新都区,四川江中粤通医药有限公司,国企,500-1000人,医疗/护理/卫生,08-15
数据分析师,0.8-1万/月,深圳-罗湖区,深圳八零后信息咨询有限公司,民营公司,,专业服务(咨询、人力资源、财会),08-15
数据银行分析师,1.5-2.5万/月,上海-普陀区,上海联新文教用品有限公司,民营公司,150-500人,互联网/电子商务,08-15
数据分析师,0.8-1万/月,广州-白云区,银隆投资咨询（广州）有限公司,创业公司,少于50人,互联网/电子商务,08-15
数据分析师（管培生）,6-8千/月,武汉-洪山区,悦活里,民营公司,1000-5000人,批发/零售,08-15
数据分析师,6-8千/月,杭州-西湖区,杭州巨脉品牌管理有限公司,民营公司,50-150人,互联网/电子商务,08-15
商业数据分析师（电商行业）,1.5-2万/月,上海-闵行区,上海帝亚实业有限公司,民营公司,150-500人,互联网/电子商务,08-15
数据分析师,1-1.5万/月,上海-浦东新区,上海翰鑫信息科技有限公司,合资,50-150人,互联网/电子商务,08-15
数据分析师,0.8-1万/月,上海-浦东新区,上海科霏智能科技有限公司,合资,150-500人,计算机软件,08-15
数据分析师,1-1.5万/月,上海-长宁区,上海菁淇信息科技有限公司,合资,50-150人,电子技术/半导体/集成电路,08-15
数据分析师,3.5-5千/月,惠州,健达创智科技股份有限公司,外资（非欧美）,1000-5000人,电子技术/半导体/集成电路,08-15
数据分析师,5-9千/月,长沙-岳麓区,湖南省金盾信息安全等级保护评估中心有限公司,民营公司,150-500人,计算机服务(系统、数据服务、维修),08-15
数据分析师,4-8千/月,西安-西咸新区,陕西西北火电工程有限公司,民营公司,500-1000人,电气/电力/水利,08-15
大数据分析师,0.9-1.8万/月,福州,长威信息科技发展股份有限公司,民营公司,500-1000人,计算机软件,08-15
数据分析师,2-2.5万/月,深圳-福田区,智慧银河,民营公司,150-500人,互联网/电子商务,08-15
数据分析师,2-2.5万/月,上海-闵行区,红星美凯龙家居集团股份有限公司,上市公司,150-500人,多元化业务集团公司,08-15
数据分析师,0.7-1万/月,深圳-福田区,上海美凯龙爱家房地产管理咨询有限公司,民营公司,1000-5000人,中介服务,08-15
临床数据分析师、医学遗传分析师,0.8-1.5万/月,杭州,杭州金诺医学检验实验室有限公司,民营公司,50-150人,医疗/护理/卫生,08-15
数据分析师,1-2万/月,西安-雁塔区,东方微银科技股份有限公司,民营公司,150-500人,计算机软件,08-15
数据分析师,0.8-1.2万/月,广州-天河区,建顺信息科技（广州）有限公司,外资（非欧美）,50-150人,计算机软件,08-15
数据分析师,6-8千/月,西安-碑林区,泰康人寿保险有限责任公司陕西西安新兴营销服务部,民营公司,,保险,08-15
BI数据分析师,1.5-2.5万/月,南京,南微医学科技股份有限公司,上市公司,1000-5000人,医疗设备/器械,08-15
数据分析师,1-1.5万/月,武汉-武昌区,北京世纪千府国际工程设计有限公司湖北分公司,民营公司,500-1000人,建筑/建材/工程,08-15
